Branch番号,ポイント番号,Branch番号,ポイント番号
0,1,1,3
0,1,8,2
0,3,12,0
1,1,2,3
1,2,13,0
2,2,10,0
10,3,9,1
10,2,14,0
2,1,3,3
3,2,15,0
3,1,5,3
4,2,5,0
5,1,6,3
6,1,7,3
7,2,11,0
11,1,20,3
11,2,19,0
13,1,14,3
14,1,15,3
15,1,16,3
16,1,17,3
6,2,17,0
17,1,18,3
18,1,19,3
12,2,21,0
21,1,22,3
13,2,22,0
22,2,24,0
24,1,25,3
14,2,25,0
25,1,26,3
26,1,27,3
16,2,27,0
27,1,28,3
28,1,23,3
23,1,18,2
23,2,29,0
21,2,31,0
30,1,31,3
31,1,32,3
24,2,32,0
31,2,45,0
32,2,33,0
33,2,47,0
33,1,34,3
34,0,35,2
35,0,36,3
36,1,37,2
37,0,26,2
34,1,38,3
38,1,39,3
39,0,40,2
39,1,41,3
41,0,42,2
41,1,43,3
43,0,28,2
43,1,44,3
45,1,46,3
46,1,47,3
47,2,48,0
47,1,49,3
49,1,50,3
50,0,38,2
50,1,51,3
51,1,52,3
52,1,53,3
53,0,39,2
53,1,54,3
53,2,65,0
53,3,52,1
54,1,55,3
43,2,56,0
56,1,57,3
57,1,58,3
44,2,58,0
58,1,59,3
58,2,61,0
57,2,60,0
60,1,61,3
61,2,62,0
56,2,55,0
55,1,62,3
62,2,68,0
68,3,69,1
68,2,70,0
67,1,70,3
51,2,64,0
64,1,65,3
64,2,66,0
45,2,63,0
63,1,66,3
66,1,67,3
65,2,67,0
63,2,71,0
